scene,operator,exposure_sensitivity_index
C:\hdr_perceptual\data\hdr_exr\Lab Window.exr,gamma,1.6362334489822388
C:\hdr_perceptual\data\hdr_exr\Lab Window.exr,reinhard_local,0.2659495770931244
C:\hdr_perceptual\data\hdr_exr\Lady Bird Redwoods.exr,reinhard,0.6492230892181396
C:\hdr_perceptual\data\hdr_exr\Lady Bird Redwoods.exr,drago,0.7767826914787292
C:\hdr_perceptual\data\hdr_exr\Lady Bird Redwoods.exr,filmic,1.0887843370437622
C:\hdr_perceptual\data\hdr_exr\Lady Bird Redwoods.exr,gamma,0.6887109875679016
C:\hdr_perceptual\data\hdr_exr\Lady Bird Redwoods.exr,reinhard_local,0.6396377682685852
C:\hdr_perceptual\data\hdr_exr\Las Vegas Store.exr,reinhard,0.8876197338104248
C:\hdr_perceptual\data\hdr_exr\Las Vegas Store.exr,drago,0.9526365995407104
C:\hdr_perceptual\data\hdr_exr\Las Vegas Store.exr,filmic,1.2181612253189087
C:\hdr_perceptual\data\hdr_exr\Las Vegas Store.exr,gamma,0.310356080532074
C:\hdr_perceptual\data\hdr_exr\Las Vegas Store.exr,reinhard_local,0.8982049226760864
C:\hdr_perceptual\data\hdr_exr\Letchworth Tea Table (1).exr,reinhard,0.7085765600204468
C:\hdr_perceptual\data\hdr_exr\Letchworth Tea Table (1).exr,drago,0.0980970710515976
C:\hdr_perceptual\data\hdr_exr\Letchworth Tea Table (1).exr,filmic,0.516319215297699
C:\hdr_perceptual\data\hdr_exr\Letchworth Tea Table (1).exr,gamma,1.440686821937561
C:\hdr_perceptual\data\hdr_exr\Letchworth Tea Table (1).exr,reinhard_local,0.6426655054092407
C:\hdr_perceptual\data\hdr_exr\Letchworth Tea Table (2).exr,reinhard,0.4415969252586365
C:\hdr_perceptual\data\hdr_exr\Letchworth Tea Table (2).exr,drago,0.5391964316368103
C:\hdr_perceptual\data\hdr_exr\Letchworth Tea Table (2).exr,filmic,0.49960610270500183
C:\hdr_perceptual\data\hdr_exr\Letchworth Tea Table (2).exr,gamma,0.8944966793060303
C:\hdr_perceptual\data\hdr_exr\Letchworth Tea Table (2).exr,reinhard_local,0.500330924987793
C:\hdr_perceptual\data\hdr_exr\Little River.exr,reinhard,0.2642902135848999
C:\hdr_perceptual\data\hdr_exr\Little River.exr,drago,0.5037409067153931
C:\hdr_perceptual\data\hdr_exr\Little River.exr,filmic,0.7354448437690735
C:\hdr_perceptual\data\hdr_exr\Little River.exr,gamma,2.0126566886901855
C:\hdr_perceptual\data\hdr_exr\Little River.exr,reinhard_local,0.2638353705406189
C:\hdr_perceptual\data\hdr_exr\Luxo Double Checker.exr,reinhard,1.2391746044158936
C:\hdr_perceptual\data\hdr_exr\Luxo Double Checker.exr,drago,1.1109753847122192
C:\hdr_perceptual\data\hdr_exr\Luxo Double Checker.exr,filmic,1.3527470827102661
C:\hdr_perceptual\data\hdr_exr\Luxo Double Checker.exr,gamma,0.47066769003868103
C:\hdr_perceptual\data\hdr_exr\Luxo Double Checker.exr,reinhard_local,1.2482428550720215
C:\hdr_perceptual\data\hdr_exr\M3 Middle Pond.exr,reinhard,0.4041792154312134
C:\hdr_perceptual\data\hdr_exr\M3 Middle Pond.exr,drago,0.16212959587574005
C:\hdr_perceptual\data\hdr_exr\M3 Middle Pond.exr,filmic,0.40166035294532776
C:\hdr_perceptual\data\hdr_exr\M3 Middle Pond.exr,gamma,1.4660922288894653
C:\hdr_perceptual\data\hdr_exr\M3 Middle Pond.exr,reinhard_local,0.2684445083141327
C:\hdr_perceptual\data\hdr_exr\Mackinac Bridge.exr,reinhard,0.6056250333786011
C:\hdr_perceptual\data\hdr_exr\Mackinac Bridge.exr,drago,0.1452069878578186
C:\hdr_perceptual\data\hdr_exr\Mackinac Bridge.exr,filmic,0.4114990532398224
C:\hdr_perceptual\data\hdr_exr\Mackinac Bridge.exr,gamma,1.1792105436325073
C:\hdr_perceptual\data\hdr_exr\Mackinac Bridge.exr,reinhard_local,0.24856938421726227
C:\hdr_perceptual\data\hdr_exr\Mammoth Hot Springs.exr,reinhard,0.661545991897583
C:\hdr_perceptual\data\hdr_exr\Mammoth Hot Springs.exr,drago,0.1819281429052353
C:\hdr_perceptual\data\hdr_exr\Mammoth Hot Springs.exr,filmic,0.3672304153442383
